player_id,player_name,position,career_faceoff_pct,season_faceoff_pct,games_played,handedness
,Nikita Kucherov,RW,,50.0,78.0,
,Nathan MacKinnon,C,,49.9,79.0,
,Leon Draisaitl,C,,54.3,71.0,
,David Pastrňák,RW,,37.5,82.0,
,Mitch Marner,RW,,29.4,81.0,
,Connor McDavid,C,,47.7,67.0,
,Kyle Connor,LW,,12.5,82.0,
,Jack Eichel,C,,45.6,77.0,
,Cale Makar,D,,,80.0,
,Sidney Crosby,C,,57.0,80.0,
,Brandon Hagel,LW,,34.8,82.0,
,Clayton Keller,C,,33.3,81.0,
,Artemi Panarin,LW,,0.0,80.0,
,Nick Suzuki,C,,51.6,82.0,
,Jesper Bratt,W,,0.0,81.0,
,Mikko Rantanen,RW,,52.9,82.0,
,Mikko Rantanen,RW,,53.3,49.0,
,Mikko Rantanen,RW,,50.0,13.0,
,Mikko Rantanen,RW,,50.0,20.0,
,Mark Scheifele,C,,49.4,82.0,
,William Nylander,C,,49.7,82.0,
,Martin Nečas,C,,37.8,79.0,
,Martin Nečas,C,,38.1,49.0,
,Martin Nečas,C,,33.3,30.0,
,Matt Duchene,C,,52.4,82.0,
,Brayden Point,C,,48.5,77.0,
,Dylan Strome,C,,53.7,82.0,
,Zach Werenski,D,,,81.0,
,Sam Reinhart,C,,41.2,79.0,
,Robert Thomas,C,,54.8,70.0,
,Jake Guentzel,C,,46.1,80.0,
,Lucas Raymond,LW,,12.5,82.0,
,Jason Robertson,LW,,36.8,82.0,
,Tim Stützle,LW,,47.8,82.0,
,Auston Matthews,C,,56.8,67.0,
,Filip Forsberg,C,,23.5,82.0,
,Quinn Hughes,D,,,68.0,
,Travis Konecny,RW,,39.0,82.0,
,Sebastian Aho,F,,55.3,79.0,
,Kirill Marchenko,RW,,31.7,79.0,
,John Tavares,C,,58.3,75.0,
,Matt Boldy,LW,,46.4,82.0,
,Adrian Kempe,LW,,45.8,81.0,
,Alex Ovechkin,LW,,0.0,65.0,
,Tage Thompson,C,,42.8,76.0,
,Aleksander Barkov,C,,56.5,67.0,
,Wyatt Johnston,C,,51.2,82.0,
,Cole Caufield,RW,,40.0,82.0,
,Alex DeBrincat,RW,,44.8,82.0,
,Jack Hughes,C,,37.6,62.0,
,Jordan Kyrou,C,,33.3,82.0,
,Dylan Larkin,C,,54.5,82.0,
,Rickard Rakell,RW,,42.2,81.0,
,J.T. Miller,C,,58.3,72.0,
,J.T. Miller,C,,58.6,40.0,
,J.T. Miller,C,,57.6,32.0,
,Nico Hischier,C,,55.5,75.0,
,Drake Batherson,C,,50.0,82.0,
,Rasmus Dahlin,D,,,73.0,
,JJ Peterka,RW,,16.7,77.0,
,Connor Bedard,C,,38.3,82.0,
,Evan Bouchard,D,,,82.0,
,Roope Hintz,LW,,53.9,76.0,
,Seth Jarvis,C,,34.2,73.0,
,Nazem Kadri,C,,46.2,82.0,
,Anže Kopitar,C,,57.2,81.0,
,Mark Stone,RW,,33.3,66.0,
,Alex Tuch,RW,,41.0,82.0,
,Pierre-Luc Dubois,LW,,49.7,82.0,
,Victor Hedman,D,,,79.0,
,Lane Hutson,D,,,82.0,
,Aliaksei Protas,C,,24.0,76.0,
,Mikael Granlund,C,,49.6,83.0,
,Mikael Granlund,C,,48.4,52.0,
,Mikael Granlund,C,,66.0,31.0,
,Logan Cooley,C,,44.7,75.0,
,Bryan Rust,RW,,52.9,71.0,
,Tom Wilson,RW,,26.3,81.0,
,Macklin Celebrini,F,,48.2,70.0,
,Nikolaj Ehlers,LW,,26.3,69.0,
,Dylan Holloway,C,,42.7,77.0,
,Matvei Michkov,RW,,46.3,80.0,
,Nick Schmaltz,C,,49.2,82.0,
,Ryan Donato,C,,44.6,80.0,
,Jonathan Huberdeau,LW,,33.3,81.0,
,Josh Morrissey,D,,,80.0,
,Mika Zibanejad,C,,52.0,82.0,
,Adam Fox,D,,,74.0,
,Tomáš Hertl,C,,55.9,73.0,
,Jared McCann,C,,44.7,82.0,
,Gabriel Vilardi,C,,49.3,71.0,
,Kevin Fiala,LW,,40.5,81.0,
,Dylan Guenther,RW,,34.5,70.0,
,Marco Rossi,C,,46.8,82.0,
,Anthony Cirelli,C,,50.1,80.0,
,Patrick Kane,RW,,38.5,72.0,
,Vincent Trocheck,C,,59.3,82.0,
,William Eklund,LW,,30.6,77.0,
,Matthew Knies,LW,,0.0,78.0,
,Teuvo Teräväinen,F,,39.2,82.0,
,Pavel Buchnevich,LW,,37.3,76.0,
,Morgan Geekie,C,,46.3,77.0,
,Bo Horvat,C,,58.2,81.0,
,Kent Johnson,C,,0.0,68.0,
,Connor McMichael,C,,46.8,82.0,
,Sean Monahan,C,,52.6,54.0,
,Jake Sanderson,D,,,80.0,
,Shea Theodore,D,,,67.0,
,Matthew Tkachuk,LW,,20.0,52.0,
,Kirill Kaprizov,LW,,0.0,41.0,
,Jonathan Marchessault,C,,25.4,78.0,
,Brock Nelson,C,,52.1,80.0,
,Brock Nelson,C,,52.8,61.0,
,Brock Nelson,C,,49.8,19.0,
,Troy Terry,C,,37.5,77.0,
,Brady Tkachuk,LW,,51.3,72.0,
,Quinton Byfield,C,,44.2,81.0,
,Adam Fantilli,C,,41.3,82.0,
,Anders Lee,LW,,44.4,82.0,
,Tyler Toffoli,C,,54.2,78.0,
,Mats Zuccarello,LW,,40.0,69.0,
,Erik Karlsson,D,,,82.0,
,Ryan McLeod,C,,52.3,79.0,
,Timo Meier,RW,,30.8,80.0,
,Ryan O'Reilly,C,,55.7,79.0,
,Mikhail Sergachev,D,,,77.0,
,Steven Stamkos,C,,49.7,82.0,
,Carter Verhaeghe,C,,36.4,81.0,
,Jason Zucker,LW,,39.6,73.0,
,Pavel Dorofeyev,LW,,18.8,82.0,
,Mason McTavish,C,,50.7,76.0,
,Ivan Barbashev,C,,36.4,70.0,
,Sam Bennett,C,,46.2,76.0,
